,modality,direction,day,interval,variable,pc,method,sampling,f1_mean,f1_stdev,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,sensitivity_mean,sensitivity_stdev,specificity_mean,specificity_stdev,auc_mean,auc_stdev
1343,call,In,14,24,average_length,15,RFC,up,0.6169336761920422,0.06391877604430264,0.5578688524590163,0.059425958282038026,0.6122278766968927,0.05108501491835656,0.6274285714285712,0.09497105418908884,0.4642307692307691,0.10289210372940157,0.5458296703296703,0.05924587871248772
1344,call,In,14,6,combined,13,LR,up,0.616898725417189,0.058094291434813636,0.5945901639344262,0.04600649202829919,0.6737831130853762,0.04984452292144265,0.5760000000000001,0.08801341701657202,0.6196153846153849,0.09792769395671172,0.597807692307692,0.045932869281516464
1345,text,Out,14,12,unique_contacts,13,SVC,down,0.6166912031991214,0.09186980713452593,0.5863636363636363,0.07697220350261474,0.7028612495810975,0.08719187109316615,0.5634999999999999,0.12789180243984807,0.6215384615384614,0.16093980162711025,0.5925192307692309,0.07917351781836138
1346,text,Out,14,24,average_length,7,KNN,up,0.6166851487619326,0.08069899959580247,0.5421212121212122,0.07594345118854595,0.623410643824276,0.06301510489695439,0.6194999999999999,0.1199526421703014,0.4230769230769229,0.1354591163241738,0.5212884615384615,0.07554973304420487
1347,text,Out,14,24,unique_contacts,12,KNN,up,0.6165833155316672,0.08286915690448013,0.5566666666666668,0.07796359566567689,0.6461262011746497,0.07092658603502199,0.5984999999999999,0.1140297232206488,0.4923076923076921,0.13915908211281394,0.5454038461538459,0.07942789305305717
1348,text,Out,14,12,counts,3,SVC,down,0.6164821307248609,0.08612054295681255,0.5827272727272729,0.07179473036897124,0.6964262891107486,0.08494980886449946,0.5675000000000001,0.12560459844892286,0.6061538461538462,0.15816774085698854,0.5868269230769231,0.07390918490965734
1349,call,Out,14,12,unique_contacts,3,RFC,up,0.6164605396173163,0.06720290150021607,0.5763636363636367,0.06140127215218639,0.6078943630393634,0.05249578476088392,0.6319444444444445,0.10191878731069973,0.5096666666666664,0.09862067815307038,0.5708055555555557,0.0607240766641951
1350,text,Out,14,24,combined,15,RFC,down,0.6164579135568542,0.08098512172834818,0.5609090909090912,0.06897995591085118,0.6533514971074601,0.06850345997840222,0.5944999999999999,0.1176141182345079,0.5092307692307692,0.14329807206454095,0.5518653846153846,0.07012153300911657
1351,text,Out,14,4,counts,14,LR,up,0.6164248859743066,0.080323230333522,0.5542424242424242,0.07647896509809497,0.6431871360560889,0.06965943948940477,0.601,0.113480296870328,0.4823076923076924,0.1466274582048379,0.5416538461538464,0.07919773037960429
1352,text,Out,14,4,counts,9,LR,down,0.6163777195979097,0.09884389638153032,0.5724242424242424,0.0819359987922336,0.6714299307578349,0.08824501123216275,0.5815,0.12545976054158364,0.5584615384615387,0.15601424896113625,0.5699807692307693,0.08390911672223259
1353,text,Out,14,6,counts,6,RFC,down,0.6163387031153778,0.09025105058511496,0.5836363636363634,0.08156441276447053,0.6969855461023923,0.08533517133819178,0.5640000000000001,0.1216635533018011,0.6138461538461537,0.14870187197083748,0.5889230769230768,0.0831170404447161
1354,text,In,14,12,counts,15,SVC,up,0.6163347363642271,0.05487840845038476,0.5533333333333332,0.04281559885194301,0.6052938550535716,0.03564750366560675,0.634,0.09269701877761738,0.4451219512195123,0.09259179139855707,0.5395609756097561,0.041049396189143036
1355,text,Out,14,4,unique_contacts,5,RFC,up,0.6163241268030244,0.0955427599478097,0.5436363636363636,0.08898275367938277,0.622259661391365,0.0730520479871431,0.6189999999999998,0.13310207217080286,0.4276923076923077,0.12997381381573622,0.5233461538461537,0.08593179391486629
1356,text,Out,14,12,counts,12,LR,down,0.6163044752398055,0.081190098173087,0.5766666666666665,0.07148399086635647,0.6823603712790853,0.07314324837478038,0.5714999999999999,0.11174804813788143,0.5846153846153842,0.1395879246767354,0.5780576923076921,0.07331173934680199
1357,text,In,14,12,counts,14,SVC,up,0.6161748042740665,0.04780952891627877,0.5520833333333334,0.03689537829314047,0.604098203834219,0.029088875314471317,0.634181818181818,0.08564287708770309,0.4419512195121953,0.08350881960791404,0.5380665188470068,0.03476345577712914
1358,call,All,14,24,combined,12,RFC,up,0.6161515895487468,0.05331185044537908,0.5547142857142859,0.054599042596771084,0.5930206204521994,0.04562030495696122,0.6458974358974358,0.08348073350461632,0.44000000000000017,0.09666769419587262,0.5429487179487179,0.05522775040866866
1359,text,Out,14,6,counts,15,SVC,down,0.6161440828305871,0.09752518755506524,0.5978787878787878,0.07520212658354594,0.7326321839810226,0.0964107272357789,0.5515000000000003,0.14060744839962974,0.6692307692307692,0.1778143826997067,0.6103653846153846,0.07763361378912333
1360,text,Out,14,24,counts,10,LR,up,0.6160705615171851,0.08174195296402095,0.5645454545454549,0.07603621851005074,0.6619316250862249,0.07776985488432152,0.5865,0.11210902882209953,0.5307692307692308,0.1481058055163177,0.5586346153846153,0.07925491245448492
1361,text,Out,14,6,average_length,15,LR,down,0.616038392257409,0.0950027102380684,0.5793939393939394,0.08209263675369104,0.6879111986617203,0.08698114669532675,0.5705000000000001,0.1251453700156887,0.593076923076923,0.156272628509072,0.5817884615384616,0.08417428246833962
1362,text,Out,14,6,average_length,4,SVC,down,0.6159910994440312,0.09644937178148608,0.5878787878787882,0.07309365929157907,0.7090518604187873,0.08811801560012007,0.5649999999999998,0.13898986228564228,0.623076923076923,0.17407765595569785,0.5940384615384615,0.07513585209735943
1363,text,Out,14,24,average_length,12,KNN,up,0.6159131729368184,0.08203201771465628,0.5409090909090909,0.07934569784691634,0.6221799584656528,0.06643053041944896,0.618,0.11688723738127382,0.4223076923076921,0.13005426378822088,0.5201538461538461,0.07895030739013746
1364,text,Out,14,24,counts,11,SVC,up,0.6159049303273338,0.08138184583859859,0.5566666666666665,0.07926148534592678,0.6512661091986539,0.08424035962289457,0.5970000000000002,0.1197261184301213,0.4946153846153845,0.17433669129515875,0.5458076923076921,0.08548782935473538
1365,text,Out,14,24,counts,11,LR,up,0.6157974126873109,0.07126751463648792,0.5621212121212124,0.060968460421671936,0.658573726440697,0.06442431456275545,0.5900000000000003,0.1112373020786524,0.5192307692307692,0.15006025526563624,0.5546153846153845,0.06478367749674137
1366,text,Out,14,6,average_length,4,RFC,up,0.6157877044946484,0.07870357682830265,0.5409090909090908,0.07526623647899228,0.622569448339808,0.06419180489732583,0.6175000000000002,0.11642290551817078,0.4230769230769231,0.1354591163241738,0.5202884615384616,0.07558340769070934
