modality,direction,day,interval,variable,pc,method,sampling,f1_mean,f1_stdev,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,sensitivity_mean,sensitivity_stdev,specificity_mean,specificity_stdev,auc_mean,auc_stdev
text,Out,14,12,combined,2,LR,down,0.5936907349822529,0.07658777128834997,0.5808333333333334,0.07248882417055494,0.5834110954405074,0.08146719929042999,0.6225000000000003,0.1283665617920318,0.5391666666666665,0.15866967642789492,0.5808333333333335,0.07248882417055491
text,Out,14,4,unique_contacts,4,SVC,up,0.5935416307000113,0.0813303137093018,0.5625,0.07455912318911426,0.5578261834055177,0.07216262930562421,0.6508333333333333,0.13436835228773464,0.47416666666666674,0.15107870641857135,0.5625,0.07455912318911427
text,Out,14,4,unique_contacts,6,SVC,down,0.5935086278595256,0.08226551932954591,0.5691666666666668,0.07282672422994936,0.5642488033552275,0.07088365057426572,0.6416666666666667,0.1358247864531334,0.4966666666666665,0.142587126573271,0.5691666666666668,0.07282672422994936
text,Out,14,4,combined,1,LR,up,0.5928111959719354,0.08756344112440523,0.58,0.07317744373510829,0.5755460209724914,0.07256703578366192,0.625,0.13736538150463787,0.535,0.12711730930710027,0.58,0.07317744373510829
text,Out,14,4,average_length,15,SVC,up,0.5928078702014827,0.0891935337536997,0.5645833333333334,0.06631192445069482,0.564883039604015,0.08469056604028746,0.6583333333333331,0.1734721666221777,0.47083333333333344,0.1914909163479329,0.5645833333333334,0.06631192445069484
text,Out,14,12,average_length,10,KNN,up,0.5919193311132414,0.09257258127612084,0.5658333333333334,0.08807630479174752,0.5613670750044589,0.08732716344468558,0.6400000000000001,0.13857540379329902,0.4916666666666668,0.15098814069572472,0.5658333333333334,0.08807630479174751
text,Out,14,4,average_length,2,SVC,down,0.5913150824540643,0.10711678210274414,0.5479166666666665,0.07041618103950648,0.5397682997257303,0.06487855451075883,0.6933333333333335,0.21184084405486245,0.40250000000000014,0.19643819120263495,0.5479166666666664,0.0704161810395065
text,Out,14,12,average_length,5,LR,up,0.590922657929896,0.0911237227193687,0.5804166666666666,0.08749198295804259,0.5834579383035267,0.09732792471317817,0.615,0.13283788420189782,0.5458333333333336,0.16256527653777253,0.5804166666666666,0.0874919829580426
text,Out,14,4,unique_contacts,4,LR,down,0.5908879759257679,0.08499174885667776,0.5733333333333334,0.08144321109212622,0.5732043815747374,0.08528044558745479,0.6249999999999999,0.12674151607403641,0.5216666666666664,0.15696511439822272,0.5733333333333334,0.08144321109212624
text,Out,14,12,average_length,9,KNN,up,0.5908143349043651,0.08936291939561249,0.56875,0.08711434975169091,0.565195621372092,0.08372311570347568,0.6316666666666665,0.13252067157640626,0.5058333333333334,0.14663021815240157,0.56875,0.08711434975169091
text,Out,14,4,average_length,10,SVC,down,0.5907963610789019,0.10641460126191458,0.5637500000000001,0.08021414065731614,0.5602888045906623,0.08531115353697087,0.6591666666666667,0.1891764744783871,0.4683333333333334,0.1938229606299008,0.5637500000000001,0.08021414065731614
