,modality,direction,day,interval,variable,sampling,f1_mean,f1_stdev,accuracy_mean,accuracy_stdev,precision_mean,precision_stdev,sensitivity_mean,sensitivity_stdev,specificity_mean,specificity_stdev,auc_mean,auc_stdev
52,call,In,14,12,average_length,down,0.5559047851636423,0.06495352359858071,0.5199999999999998,0.0630444465744977,0.59260665710824,0.06335565223737805,0.5268571428571429,0.07772481042390432,0.5107692307692306,0.09916874036312197,0.5188131868131869,0.06459466315984816
53,text,In,14,12,unique_contacts,up,0.5556888546969899,0.05385974617643207,0.5054166666666667,0.04704083553288434,0.5712189509320571,0.04222901044148212,0.5436363636363636,0.07205844897340717,0.4541463414634148,0.0705177247631088,0.4988913525498889,0.04619649792969702
54,text,In,14,24,average_length,down,0.5534929229634412,0.05448298236883351,0.5087499999999998,0.045986124267438436,0.5757725114010338,0.04058411681748858,0.5356363636363636,0.07411080704263646,0.4726829268292682,0.0660290748105592,0.5041596452328161,0.04437629274838335
55,call,All,14,6,counts,up,0.5534518392660726,0.05673638666666395,0.5330000000000001,0.04820825947054239,0.5921757856379961,0.05098430548291196,0.5235897435897435,0.07532484543959589,0.5448387096774193,0.08315039991220899,0.5342142266335813,0.04840767085264705
56,text,All,14,4,unique_contacts,up,0.5533304532168899,0.05212381363075395,0.5083673469387757,0.04623803614290392,0.5858556882479938,0.04318192464714458,0.5268421052631581,0.06720891796254487,0.4826829268292683,0.07257663059015225,0.5047625160462132,0.046102691594992085
57,call,In,14,4,average_length,up,0.5529615960491355,0.06618418189222858,0.5185245901639345,0.06074518004575945,0.5915847821748949,0.0615171937460929,0.5237142857142857,0.08509201732289574,0.5115384615384615,0.10263692053746727,0.5176263736263735,0.061828000099695676
58,text,All,14,24,average_length,down,0.5523615937022917,0.057983607042972035,0.5040816326530614,0.0528132734859074,0.5802988591482906,0.04949776889354928,0.5298245614035086,0.07472410348033642,0.4682926829268293,0.07844197582510924,0.4990586221651691,0.05246594978902159
59,text,In,14,4,counts,up,0.5518962028454554,0.051391271638629436,0.4883333333333335,0.0476841636319592,0.5529257621830994,0.04139612717877325,0.5532727272727271,0.07059571449044241,0.4012195121951219,0.0721681331600971,0.4772461197339243,0.04721417643788069
60,text,All,14,6,counts,up,0.5513932876168862,0.04990880695457445,0.4965306122448979,0.04735815091975088,0.5720301628535747,0.04403270648652343,0.5347368421052636,0.06542868761977666,0.4434146341463415,0.07991276287183004,0.4890757381258023,0.04831881994551605
61,call,In,14,6,average_length,up,0.5513573619293471,0.06598322883852582,0.5149180327868852,0.06308813575375036,0.5891340264323452,0.06671905858795127,0.5239999999999999,0.08568734545364676,0.5026923076923077,0.1211650998091061,0.5133461538461538,0.0661593947742925
